r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
1,0,0,402128,7960,57152,0,0,0,6,800,204,0,27,72,1,0,0
5,0,0,401896,7960,57152,0,0,0,0,1196,443,0,63,37,0,0,0
1,0,0,401416,7960,57156,0,0,0,0,607,131,0,17,83,0,0,0
0,0,0,402592,7968,57156,0,0,0,6,410,71,0,4,95,0,0,0
0,0,0,402112,7968,57156,0,0,0,0,487,89,0,6,94,0,0,0
0,0,0,402112,7968,57156,0,0,0,0,317,43,0,0,100,0,0,0
0,0,0,401388,7976,57156,0,0,0,6,923,179,0,25,75,0,0,0
0,0,0,401072,7976,57156,0,0,0,0,466,80,0,7,93,0,0,0
6,0,0,401908,7976,57156,0,0,0,0,784,172,0,29,71,0,0,0
1,0,0,402168,7976,57160,0,0,0,0,1241,421,0,66,34,0,0,0
0,0,0,401636,7984,57160,0,0,0,14,579,122,0,15,84,0,0,0
0,0,0,401420,7984,57160,0,0,0,0,470,82,0,5,95,0,0,0
0,0,0,402500,7992,57152,0,0,0,12,551,92,0,14,85,0,0,0
0,0,0,402500,7992,57160,0,0,0,8,326,48,0,0,100,0,0,0
0,0,0,402500,7992,57164,0,0,0,0,509,80,0,10,90,0,0,0
0,0,0,401996,7992,57164,0,0,0,0,478,84,0,7,93,0,0,0
1,0,0,401656,8000,57164,0,0,0,6,777,196,0,29,71,0,0,0
1,0,0,401884,8000,57168,0,0,0,0,1191,414,0,63,37,0,0,0
1,0,0,401028,8000,57168,0,0,0,0,665,133,0,21,79,0,0,0
0,0,0,400932,8008,57168,0,0,0,6,387,66,0,2,97,0,0,0
0,0,0,402272,8008,57168,0,0,0,0,444,73,0,5,95,0,0,0
0,0,0,402272,8008,57168,0,0,0,0,319,45,0,0,100,0,0,0
0,0,0,401888,8016,57160,0,0,0,6,455,75,0,6,94,0,0,0
0,0,0,401672,8016,57168,0,0,0,0,636,111,0,14,86,0,0,0
1,0,0,401528,8016,57168,0,0,0,0,731,186,0,25,75,0,0,0
