r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
1,0,0,410328,6396,53048,0,0,0,6,1312,296,0,58,41,0,0,0
1,0,0,409092,6396,53052,0,0,0,0,1332,339,0,64,36,0,0,0
1,0,0,410192,6396,53052,0,0,0,0,1270,315,0,61,39,0,0,0
5,0,0,410628,6404,53056,0,0,0,22,1279,345,0,64,36,1,0,0
4,0,0,410592,6404,53056,0,0,0,0,1252,336,0,63,37,0,0,0
2,0,0,410540,6412,53060,0,0,0,12,1291,335,0,61,39,1,0,0
3,0,0,410624,6412,53060,0,0,0,6,1319,332,0,67,33,0,0,0
1,0,0,410204,6412,53060,0,0,0,0,1346,288,0,65,35,0,0,0
1,0,0,409756,6420,53068,0,0,0,14,1250,370,0,61,38,1,0,0
2,0,0,409872,6420,53072,0,0,0,0,1250,347,0,63,37,0,0,0
1,0,0,408884,6428,53072,0,0,0,12,1228,341,0,58,41,1,0,0
1,0,0,409972,6428,53076,0,0,0,4,1276,330,0,65,35,0,0,0
1,0,0,410176,6428,53076,0,0,0,0,1254,338,0,62,38,0,0,0
1,0,0,410248,6436,53080,0,0,0,16,1279,375,0,58,41,0,0,0
1,0,0,410388,6436,53080,0,0,0,0,1314,302,0,63,37,0,0,0
1,0,0,409336,6436,53080,0,0,0,0,1272,354,0,65,35,0,0,0
1,0,0,410288,6444,53084,0,0,0,18,1254,379,0,65,35,0,0,0
9,0,0,409700,6444,53084,0,0,0,0,1330,314,0,65,35,0,0,0
1,0,0,409120,6452,53088,0,0,0,16,1248,348,0,67,33,1,0,0
9,0,0,410172,6452,53088,0,0,0,0,1219,374,0,63,37,0,0,0
1,0,0,409592,6452,53092,0,0,0,0,1216,333,0,63,37,0,0,0
2,0,0,409396,6460,53096,0,0,0,16,1213,370,0,64,36,0,0,0
2,0,0,409904,6460,53100,0,0,0,0,1231,321,0,64,36,0,0,0
1,0,0,410044,6468,53092,0,0,0,18,1257,355,0,65,35,0,0,0
1,0,0,409356,6468,53104,0,0,0,0,1208,329,0,63,37,0,0,0
2,0,0,409856,6468,53104,0,0,0,0,1146,400,0,59,41,0,0,0
6,0,0,410004,6476,53108,0,0,0,16,1218,362,0,62,37,0,0,0
