Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520615,7419132,3240636,4078080,19252,1021048,92028,1649000,1054500,1270104,446200,378896,608300,32,32,4194300,2460260,402764,1718684,228,0,1660308,653304,52452,135556,331324,135556,195768,19008,50180,0,0,0,0,7903864,13288336,34359738367,91872,0,12288,0,772096,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520616,7419132,3164000,4007992,19252,1027184,90420,1735284,1042368,1354368,429540,380916,612828,32,32,4194300,2453532,402656,1725724,232,0,1727940,660068,52452,135556,331324,135556,195768,18992,50668,0,0,0,0,7903864,13288288,34359738367,91792,0,12288,0,851968,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520617,7419132,3207088,4054604,19400,1030108,87280,1708716,1029516,1321872,419076,386844,610440,32,32,4194300,2452532,402428,1726832,232,0,1684852,656388,52484,135524,331292,135524,195768,19056,50464,0,0,0,0,7903864,13253048,34359738367,91824,0,12288,0,813056,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520618,7419132,3181208,4020628,19400,1022284,89372,1756908,1015584,1360164,423140,396744,592444,32,32,4194300,2461748,402124,1717720,232,0,1727228,654000,52488,135524,331320,135524,195796,19024,50628,0,0,0,0,7903864,13288936,34359738367,91872,0,12288,0,839680,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520619,7419132,3253132,4098484,19408,1027920,86856,1584744,1097628,1235308,451944,349436,645684,32,32,4194300,2456620,401808,1722644,232,0,1631236,657816,52492,135524,331316,135524,195792,19008,50340,0,0,0,0,7903864,13254124,34359738367,91824,0,12288,0,757760,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520620,7419132,3155652,3996668,19408,1023668,89056,1712252,1069796,1327760,463504,384492,606292,32,32,4194300,2459024,401356,1720440,232,0,1735288,654016,52492,135524,331060,135524,195536,18976,50368,0,0,0,0,7903864,13288908,34359738367,91872,0,12288,0,849920,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520622,7419132,3179768,3994188,19408,997272,112408,1730452,1025796,1387092,404968,343360,620828,32,32,4194300,2458748,401020,1720560,232,0,1735964,640364,52492,135524,331060,135524,195536,18976,50160,0,0,0,0,7903864,13295856,34359738367,91856,0,12288,0,825344,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520623,7419132,3129756,3935536,19416,988380,120220,1701952,1105072,1350560,500916,351392,604156,32,32,4194300,2455656,400728,1723432,232,0,1795344,637724,52492,135524,331076,135524,195552,18976,50520,0,0,0,0,7903864,13315508,34359738367,91872,0,12288,0,880640,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520624,7419132,3190636,4005992,19416,998348,114124,1665476,1084036,1312728,471628,352748,612408,32,32,4194300,2449752,400536,1728984,236,0,1728320,630892,52496,135460,331008,135460,195548,18976,50288,0,0,0,0,7903864,13296656,34359738367,91872,0,12288,0,835584,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520625,7419132,3314380,4156924,19416,1025708,94192,1601828,1026744,1221868,414360,379960,612384,32,32,4194300,2436708,400472,1742128,236,0,1580148,648592,52496,135460,331000,135460,195540,18976,50616,0,0,0,0,7903864,13263688,34359738367,91872,0,12288,0,714752,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
